Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age,javascript_yn,rest_yn,spark,angular,react,scala,cpp,python
Software Developer,$67K-$137K (Glassdoor est.),"Job Description:
The Software Developer creates scalable, robust, and simple desktop and/or web solutions to solve complex business problems. The Software Developer designs, develops, debugs, tests, and implements software features/enhancements as well as corrects defects in existing applications and reports.
Primary Responsibilities:
Web application development (including GUI design)
Produce efficient, clean, and well-commented code
Analyze, design, develop, test, and implement applications and databases
Work closely with other teams, developers, and Senior Management to build new features and applications
Work with all User Interface, Application, and Database-related issues
Job Requirements:
Bachelor’s degree in Computer Science or equivalent work experience
Experience in Object Oriented programming language (C# preferred)
SQL/database experience
Competency in developing modules independently
Excellent written and verbal abilities—both written and oral
Ability to evaluate complex problems and arrive at a resolution
Ability to manage multiple projects simultaneously
Ability to thrive in a fast-paced environment
Preferred Qualifications:
Web application experience
Excellent interface design skills
Experience with both web and desktop applications
Full software development life cycle
Experience with WPF
Strong back-end development
Ability to explain complex technical information
Understanding of basic accounting concepts
Benefits:
Health, dental, & vision Insurance
401(K) with employer match
Profit sharing
9 paid company holidays
Paid time off
Life insurance
Paid medical leave/disability insurance
Contemporary office building
Wooded campus with nature trail
On-site fitness center
LCS Work Perks program
One of Cincinnati's Top Places to Work
Candidates must live in the Greater Cincinnati area or be willing to relocate. There are no telecommute options at this time.
LCS is an Equal Opportunity Employer",3.9,"LCS - London Computer Systems
3.9","Cincinnati, OH",201 to 500 Employees,1987,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,67,137,102.0,"LCS - London Computer Systems
", OH,33,0,0,0,0,0,1,0,0
Software Developer,$67K-$137K (Glassdoor est.),"Who we are:

Founded in 1937, MSU Federal Credit Union is owned and operated by members of the Michigan State University and Oakland University communities. We offer financial services to MSU and OU faculty, staff, students, alumni association members, and their families as well as a variety of select employee groups.

A day in the life of a Software Developer

Software Developers are responsible for the research and analysis, development, programming, and ongoing maintenance of programs and processes closely connected to various credit union websites, mobile applications, and the Episys core financial services system. This is a cross-functional role that works directly with project stakeholders to identify requirements and constraints, estimate timeframes, and design and implement technical solutions.

Responsibilities
Conducts a full range of programming tasks, including software design, coding, debugging, and system documentation. Uses various databases for technical solutions.
Provides technical support to troubleshoot, research, and resolve support system and software issues escalated from the Helpdesk so that operational problems are resolved quickly without significant interruption to member and employee service.
Participates in testing and code reviews based upon department standards and guidelines for programs written by co-workers.
Communicates project progress to project sponsors and management in project meetings and by making timely updates to the department's project management and ticketing applications.
Adheres to PCI DSS and other standards and regulatory requirements by participating in and maintaining a compliant environment in use of email, data transport, and development of software applications.
What you can bring to MSUFCU:
Bachelor's Degree in Computer Science or related field preferred.
4+ years working with one or more of the following programming languages: Java, PHP, Swift, C++, C#. Android development experience is a plus.
4+ years working with HTML/HTML5, CSS, JavaScript, and jQuery
1+ years of experience with SOAP or REST APIs, UNIX/AIX systems
Financial Industry experience is a plus
Scrum Software Development experience is a plus.
MSUFCU is an equal opportunity employer, and does not discriminate on the basis of race, color, religion, gender, pregnancy, national origin, age, veteran status, disability, sexual orientation, gender identity/expression, marital status, genetic characteristics and any other factors protected by law.",4.1,"Michigan State University Federal Credit Union
4.1","East Lansing, MI",501 to 1000 Employees,1937,Company - Private,Banks & Credit Unions,Finance,$10 to $25 million (USD),0,0,67,137,102.0,"Michigan State University Federal Credit Union
", MI,83,1,1,0,0,0,1,0,0
Sr. Control Software Engineer,$67K-$137K (Glassdoor est.),"Zoomlion NA will not sponsor applicants for work visas.
ABOUT US: ZOOMLION, a leading player in the global engineering machinery industry is growing and has positions available at Zoomlion North America's engineering research and development center in Yorkville, Wisconsin.
If you are looking for a challenging opportunity to share and expand your skills, consider joining Zoomlion North America’s creative, innovative and collaborative team, where we live these concepts….every day. Our R & D Center in Yorkville, Wisconsin is a great place to become globally connected in a multi-cultural team driven environment.
Here at Zoomlion, we are looking for the most qualified applicants who are inspired by the opportunity to create innovative technology driven solutions for a global market.
YOUR RESPONSIBILITIES:
Understand a wide variety of control system designs, challenges with hard real-time deadlines, hardware interfaces, developing drivers, user interfaces, implementing real-time operating systems and MatLab/Simulink modeling skills.
Lead cross-functional design teams to evaluate and identify solutions to problems, develop review, and approve high-level requirements, review and approve design specifications based on requirements, and ensure engineered solutions meet the specifications.
As a leader, communicate team development progress, challenges, and roadblocks with the design team and the project leaders.
Supervise the development of test cases to valid control software. Review the results.
Develop software to monitor control signals, implement algorithms, and measure process variables such as temperatures, pressures, and positions.
Ensure conformance to design and equipment specifications and compliance with operational and safety standards.
Define and follow accepted best practices for software development and source code archival.
Leads software design reviews, code reviews, and software DFMEA activities for major product development initiatives.
Investigates software tools and obtains licenses for use.
Define and follow accepted best practices for software development and source code archival.
Estimate effort required to complete project tasks to assist with project plan generation.
Drive development process best practices through continual improvement.
REQUIREMENTS:
Bachelor's Degree in : Electrical, Electronics, Computer Engineering
Master’s degree is a plus, Master’s degree in Controls a big plus
EXPERIENCE:
Ten plus years in control software design and development::
Designing electronic controls for hydraulic systems.
Control of cranes, mobile elevated work platforms, excavators, tractors, or combine control software is highly preferred.
Developed software for real-time machine control or vehicle controls and automation.
Modeling and simulation of software using hardware in the loop is a plus.
A working knowledge of wireless and wired communications technologies, protocols, and applications.
Experience in requirement engineering and management is required.
ADDITIONAL INFORMATION:
Zoomlion NA offers competitive pay and benefits.
Job location is Yorkville, Wisconsin
Zoomlion NA will not sponsor applicants for work visas.
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Employee discount
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Relocation assistance
Retirement plan
Tuition reimbursement
Vision insurance
Schedule:
Day shift
Monday to Friday
COVID-19 considerations:
We follow all CDC guidelines for businesses.
Experience:
off-road heavy machine control software design/development: 10 years (Preferred)
Work Location:
One location
Company's website:
zoomlion-na.com
Company's Facebook page:
https://www.facebook.com/Zoomlion-Heavy-Industry-NA-Inc-411238969005952/
Benefit Conditions:
Waiting period may apply",3.0,"Zoomlion Heavy Industry NA, Inc.
3.0","Yorkville, WI",1001 to 5000 Employees,-1,Company - Public,Research & Development,Business Services,Less than $1 million (USD),0,0,67,137,102.0,"Zoomlion Heavy Industry NA, Inc.
", WI,-1,0,0,0,0,0,0,0,0
Software Engineer -Testing,$67K-$137K (Glassdoor est.),"Make a difference
Ciber Global wants you. Come build new things with us and advance your career. At Ciber Global you'll collaborate with experts. You'll join successful teams contributing to our clients' success. You'll work side by side with our clients and have long-term opportunities to advance your career with the latest emerging technologies.



Work Description:
Motivated, Hard Working, detail oriented, deadline and quality driven individual to develop and test a cloud-based Enterprise Application in an Agile development environment. Applicants should have experience writing Enterprise Java Applications using Microservices / Service Oriented Architecture and REST. One of the key qualities of the applicant should be to train-on and apply new technologies to solve diﬃcult problems.
Requirements:
Two (2) years or more professional experience building or testing Enterprise applications using Java.
Demonstrable experience and ﬂuency with Spring Framework (Spring-Boot preferred).
Strong experience in creating or testing Restful web services.
Experience with Java testing frameworks (Junit/Mocks etc).
Experience with any RDBMS or NoSQL databases.
Experience with and understanding of Git.
Experience working in Scrum agile environment.
Exceptional knowledge of object-oriented design, including design patterns.
Strong ability to analyze requirements and develop a risk based approach to testing.
Bonus Points:
Experience developing or testing cloud based systems (AWS or equivalent).
Experience with Build Management & Continuous Integration systems (TeamCity or equivalent).
Experience with Messaging System (RabbitMQ or equivalent).
Experience developing multi-threaded applications.
Experience with Test Automation using Behavioral Driven Development (BDD) or Test Driven Development (TDD).
Experience in developing or testing in a regulated environment.
Experience in developing enterprise scale test automation.
Experience with Angular JS or JavaScript development.
Experience with C#.
Healthcare development background.
Education:
BS in Engineering, Computer, or other Science discipline, or equivalent.
Experience:
2+ years with BS
Preferred experience:
Testing of service based software systems.
Disciplined, regulated industries, medical device experience preferred, including FDA's 21 CFR 820/ISO 13485 experience.
Experience with developing automated tests in C# or Java preferred.
Experience with developing C# or Java web services.
At Ciber Global our consultants have access to a comprehensive benefits package. Benefits can include Paid-Time-Off, Paid Holidays, 401K matching, Life and Accidental Death Insurance, Short & Long Term Disability Insurance, and a variety of other perks.
Ciber Global is an Equal Opportunity Employer Minorities/Females/Gender Identity/Sexual Orientation/Protected Veterans/Individuals with Disabilities.
Find a purpose
Embrace emerging technologies, create inventive solutions and meet intriguing client challenges. Be a part of something bigger working on teams that make a difference and transform business.
Move ahead
No matter where you are in your career, you can work to move to the next level. You'll work hand in hand with top-tier talent and be part of a team focused on the technologies that lead the way to exciting technological changes.",3.2,"Ciber Global LLC.
3.2","Murrysville, PA",1001 to 5000 Employees,1974,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,0,0,67,137,102.0,"Ciber Global LLC.
", PA,46,1,1,0,1,0,0,0,0
Microsoft Dynamics 365 Engineer,$67K-$137K (Glassdoor est.),"Microsoft Dynamics 365 Engineer
In Time Tec, a global software solutions company based in Meridian, Idaho, is hiring for a full-time Microsoft Dynamics 365 Engineer. Founded in 2009, In Time Tec is committed to creating abundance for our partners, employees, stakeholders, and the community. We partner with clients, often working onsite in their offices to explore and understand business requirements in order to deliver long-term custom software services. We are recognized as one of Inc. 5000’s fastest-growing privately-held companies and have been named as one of the best places to work in Idaho for consecutive years. In Time Tec offers competitive compensation, health/vision/dental benefits, 401k, FSAs, tenure-based paid time off, and countless personal and professional development opportunities.
The Microsoft Dynamics 365 Engineer is a developer role responsible for delivering software projects on time and with quality for our partners. The Microsoft Dynamics 365 Engineer collaborates with the partner and works with the software development team to deliver best-in class ERP and CRM solutions in Dynamics 365. This role is responsible for overall project status communication and resolving conflicts when they arise. The Microsoft Dynamics 365 Engineer assesses future project opportunities and works to assess and partner with lab managers to staff appropriately. Evaluation of the team’s performance and designing process improvements is also critical to the success of the client.
Responsibilities
Collaborate with Product Owners to understand business objectives and develop a product roadmap.
Design and develop CRM and ERP software solutions using Microsoft Dynamics 365.
Design applications that are secure, scalable, and robust based on business objectives.
Develops reports in Power BI.
Provides technical leadership and guidance to the partner and the software development team.
Focuses on win-win arrangements for the partner and the software development team.
Drives the improvement of continuous improvement processes.
Coordinates team efforts and communication between onshore and offshore software teams
Qualifications
Bachelor’s Degree in Computer Science, Computer Information Systems or equivalent work experience and 5 years in a related field.
3+ years of experience developing solutions in Microsoft Dynamics 365.
Experience with Active Directory and Azure administration a plus.
Microsoft certification a plus.
Previous work history providing leadership within an organization.
Demonstrated Skills
Superior written and verbal communication skills.
Strong interpersonal skills with the ability to collaborate and inspire.
Ability to communicate the business and strategic impact of technical decisions.
This job position requires a candidate be authorized to work in the U.S. as a U.S. Citizen or with an EAD. In Time Tec will not sponsor or apply for work visas.
Salary range will be discussed during the final interview and will be determined by experience and demonstrated capabilities.
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible spending account
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday",4.2,"In Time Tec
4.2","Boise, ID",201 to 500 Employees,2009,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,67,137,102.0,"In Time Tec
", ID,11,0,0,0,0,0,1,0,0
Senior Software Engineer,$67K-$137K (Glassdoor est.),"BSc in Computer Science required
Outstanding work ethic an absolute
Active code repository on github or equivalent a must
Some prior experience in the FinTech sector a plus
Interested to work on cutting edge technology in a small team with professionals who hold themselves to a higher standard. We move fast.
Needs to be well versed in all aspects of software engineering
LAMP is your strong suit
You don't shy away from sysadmin tasks and are comfortable on Linux, Windows and Mac
Lot's and lots of frontend happiness (CSS/JS/HTML plus frameworks like angular, react, vue, etc) and skills needed as well.
In love with API design, construction and consumption
Main languages: PHP, Python, JS, C/C++. You should be skilled enough to pickup any new languages required, quickly. We work with web, back-end and embedded code across engineers, so buckle up.
Mobile platform experience (Flutter, Swift or similar)
Strong understanding of Linux in particular and Security in general (nmap, ports, pen-testing etc)
Well versed in git, MySQL, bash and the regular basic dev chop sticks.
Comfortable with AWS, DO and similar hosting environment
Unit testing, CI, etc
But above all: anything that can be automated, will be automated.
We leave no stone unturned... server software, mobile software, python, data visualizations - candidate needs to be willing to get their hands dirty and enjoy it! Any experience scaling software from a small startup to a medium size company that would come in handy. Applicant needs to be able to think on their feet (cubicle specialization life this is not).
Very competitive salary with wide range of exciting projects but above average demands on integrity, attention to detail and work ethic. Byte Federal, Inc follows the SpaceX philosophy and shuns coporate bloat.
Due to our unique needs a candidate must be willing to relocate if not local. However, work from home option available down the road.
Job Type: Full-time
Experience:
software development: 6 years (Preferred)
PHP: 5 years (Preferred)
SQL: 5 years (Preferred)
Python: 5 years (Preferred)
Education:
Bachelor's (Preferred)
Location:
Sarasota, FL (Required)
Work authorization:
United States (Required)
Application Question:
How would you work around a browser's sandboxing to trigger a program running in the background if you controlled the machine the browser is running on?
Additional Compensation:
Bonuses
Work Location:
One location
Benefits:
Paid time off
Work from home
Flexible schedule
Relocation assistance
Tuition reimbursement
Schedule:
Monday to Friday
Other
Company's website:
https://www.bytefederal.com/
Benefit Conditions:
Waiting period may apply
Work Remotely:
No",-1.0,"Byte Federal, Inc.","Venice, FL",-1,-1,-1,-1,-1,-1,0,0,67,137,102.0,"Byte Federal, Inc.", FL,-1,0,1,0,1,1,0,1,1
Software Engineer,$67K-$137K (Glassdoor est.),"If you enjoy designing, developing and analyzing hard logic problems, consider growing with our team of engineers who never shy away from understanding Windows or Linux OS internals such as processes, threads, synchronization, drivers, virtual memory, kernel objects, etc. At Fortego, you will embark on a journey of exciting, impactful & highly technical work with good people that treat you like family.

If you’re a developer with any of the following experience who can think outside-of-the-box, who aren’t afraid of breaking things, and who enjoy doing things in ways they aren’t supposed to be done, with a TS/SCI with a Polygraph, we encourage you to apply.
As an ideal candidate, you will have any of the following experience:
C, C++, x86 Assembly programming
Windows, Linux, Mobile, Embedded Systems
Strong knowledge of OS internals
Network experience (sockets, TCP, UDP, Wireshark)
Experience with build systems
Desired, but not required:
Python, Ruby experience
Reverse Engineering experience (IDA Pro, WinDbg, etc)
Kernel Development experience
Vulnerability analysis and exploit development experience
Required qualifications:
TS/SCI with a Polygraph
Minimum of 4 years of experience or a bachelor's degree
Looking for junior, mid, and senior level engineers
The benefits:
Rewarding your hard work: Referrals, sign on, profit sharing, quarterly awards… need we go on?
Generous training budget: Designed by you.
PTO that has your back: For the families and the unbounded adventures, from furloughs to inclement weather, we are there.
Top-notch health care and 401k package: If these drive you, this is your stop.
Something always going on: Team lunches, happy hours, fantasy leagues, game nights, homebrew competitions and monthly family events.
We support innovation: Got an idea? Want to learn something new? Whatever it is we will help see it through.
About Fortego
Fortego helps solve some of the most difficult cyber issues the world faces today. Our employees spend their working hours deep in the trenches handling the most critical and exciting challenges on the national security front. As for the other hours of the day, you will find Fortego employees kicking back and enjoying benefits that span from family activities to sporting events, supporting veterans in the community, and exploring new tech.

Fortego is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",5.0,"Fortego
5.0","Columbia, MD",51 to 200 Employees,2010,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,67,137,102.0,"Fortego
", MD,10,0,0,0,0,0,0,0,1
Installation Engineer,$67K-$137K (Glassdoor est.),"Become Part of a Forward-Thinking Company based at the Cape May Airport Tech Village. We at D-Tech are looking for a Qualified Applicant in the Mechanical Assembling and Electrical Sector. The Applicant would require the ability to work well with others and Front Face interaction with customers during installation is a plus! The Applicant will be required to have the following:
1. Clean Driving Record
2. Ability to follow instructions.
3. Ability to work well with others and as a Team.
4. Ability to stay focused and on task.
5. Good communication skills and does so well with others verbally and written.
6. Time Management - Organized, tidy and prepared in advance of the week ahead.
7. Problem Solving Skills - a
Experience in:
1. Assembling & Electrical knowledge & skills
2. Software/Hardware Installation Support.
3. Eye for detail as well as good eye/hand coordination
4. Mechanically Inclined
This position will involve travel Monday-Friday. However, there will be Out of State Travel which may include weekends.
Please be aware that mask, gloves and Pandemic Preventive Measures such as hand sanitizer are required for your safety as well as the safety of our families and patrons.
Job Types: Full-time, Internship
Pay: From $25.00 per hour
Benefits:
Paid time off
Schedule:
Monday to Friday
COVID-19 considerations:
Please be aware that mask, gloves and Pandemic Preventive Measures such as hand sanitizer are required for your safety as well the safety of our families and patrons. Masks are required to be worn in the office.
Ability to Commute/Relocate:
Rio Grande, NJ 08242 (Preferred)
Education:
High school or equivalent (Preferred)
Experience:
Assembly: 1 year (Preferred)
Electrical engineering: 1 year (Preferred)
Soldering: 1 year (Preferred)
License/Certification:
Driver's License (Preferred)
Forklift Certification (Preferred)
Willingness To Travel:
50% (Preferred)
Internship Compensation:
Pay
Company's website:
www.d-techinternational.com
Work Remotely:
No",-1.0,D-Tech International US LLC,"Rio Grande, NJ",-1,-1,-1,-1,-1,-1,0,0,67,137,102.0,D-Tech International US LLC, NJ,-1,0,0,0,0,0,0,0,0
Full Stack Engineer,$67K-$137K (Glassdoor est.),"Data Ductus is a global software consulting firm specializing in advanced network automation, service orchestration, and cloud solutions. We are software engineers with a passion to solve technically challenging problems in agile, scalable teams using the latest tools and languages. We are looking for another Full Stack Engineer to help us deliver cutting-edge network automation solutions and the user experiences that enable them. We are actively involved in several exciting development projects with top-tier carriers, global resellers, and major telecommunications equipment providers, and the interest in automation for service provisioning, DevOps, workflow solutions, and great user-experiences has never been greater.
Additionally, in this role, this engineer will contribute to the user-experience development of internal projects and sales enablers that we create to help us start projects with new technologies.
The successful candidate will have a B.S. in Computer Science or equivalent discipline and at least 5 years of experience in Web application and software automation development with a preference towards experience with equipment vendors and telecommunications providers. Specific requirements include:
Minimum of 3-5 years of professional experience building Web Application UIs using HTML5, CSS and JavaScript (ES6+) consuming RESTful APIs and JSON
Strong understanding of JavaScript design patterns and MVVM frameworks such as Angular
Solid Experience in building web applications using Python and Angular (version 8 and above preferred)
TDD experience with either Mocha or Jasmine
Browser driven, automated testing experience with Karma
Solid experience with Docker, Kubernetes, and any container-based platforms
Sound knowledge on DevOps methodology, CI/CD Pipeline, tools
Significant experience developing in Linux environments
Experience with networking equipment operation, configuration, and management is a plus
Job Type: Full-time
Pay: $80,000.00 - $110,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Health insurance
Paid time off
Vision insurance
Schedule:
Monday to Friday
COVID-19 considerations:
We are all working from home and will come together at the office again when it is safe to do so. Until then, we are productive and motivated for our customers from our homes and get together for virtual Happy Hours and Swedish fika to keep in touch.
Experience:
Software Development: 3 years (Required)
Education:
Bachelor's (Required)
Language:
English (Required)
Work authorization:
United States (Required)
Work Location:
One location
This Job Is:
A job for which all ages, including older job seekers, are encouraged to apply
Company's website:
https://www.dataductus.com
Benefit Conditions:
Only full-time employees eligible
Work Remotely:
Yes, temporarily due to COVID-19",-1.0,"Data Ductus, Inc","Maynard, MA",-1,-1,-1,-1,-1,-1,0,0,67,137,102.0,"Data Ductus, Inc", MA,-1,1,1,0,1,0,1,0,1
Sr. Software Engineer,$67K-$137K (Glassdoor est.),"About Clarus Commerce:

At Clarus Commerce, our focus is on the employee, their growth and their work/life balance satisfaction is always Top of Mind. The minute you step through the door, you’ll be joining a company that values everyone’s opinion, rewards and recognizes exemplary work, and loves to have fun.

You’ll also be a part of a business that is constantly being recognized for excellence. We’ve been chosen as a “Top Workplace” eight years in a row, we have been named one of Boston’s Best & Brightest, a “Top Company Culture” nationally and have been featured in The Wall Street Journal, The Boston Globe, Cosmopolitan and Time Magazine. Life is too short, so join a company where you can turn a job into a career—and have a great time doing it.

Clarus Commerce specializes in building custom premium loyalty programs for our clients. We also have a direct to consumer business where we manage consumer facing subscription shopping products, such as ShopSmarter and FreeShipping.com.

TEMPORARILY A REMOTE WORKPLACE DUE TO COVID-19:

Position Overview:
Are you looking for an opportunity to grow as an engineer in a fast-paced platform team? Do you love modernizing architecture, APIs, tools, and tech stacks while translating core business value to internal stakeholders?

Clarus Commerce’s Engineering team is searching for a Software Engineer who is highly motivated, collaborative with an entrepreneurial spirit. You will be a key member of our team making important technical decisions that will shape the company's future. You will join a highly-skilled IT organization and utilize the latest technologies to develop high-traffic websites, web services, and other software products.

As part of our team, you’ll enjoy:
The hustle of a lean-team with the impact of a global business
Tremendous opportunity to solve some of the industry’s most exciting problems
Collaborating with an extraordinary team of highly talented, smart, creative, fun and highly motivated people
Great workspace, competitive benefits and time-off
Responsibilities:
Supporting and informing Clarus Commerce’s technical vision and strategy.
Communicating with users, other technical teams, and management to collect requirements and describe product features and technical designs.
Exemplify best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations.
Owning all stages of the development process: requirements, design, implementation, testing, and operational support.
Provide technical support to engineering team members.

Skill and Experience Requirements::
3+ years of professional experience in full-stack software development with experience across multiple technologies, languages, and frameworks.
Develop new products and enhance existing products utilizing the Microsoft technology stack: C# 6, .NET Core, ASP.NET MVC 5, Entity Framework, and SQL Server 2014-2016.
Solid understanding of computer science fundamentals and object-oriented programming (OOP), such as algorithm analysis, algorithm design, and problem-solving.
Working knowledge of software design patterns, such as MVC, factory, object pool, and experience applying them in n-tier architectures.
Solid understanding of common web security vulnerabilities and securing applications against attacks that exploit them.
Experience with distributed microservice architecture, service orchestration, and containerization.
Experience with relational databases and NoSQL databases.
Experience with AWS cloud or serverless architecture
Experience using JavaScript libraries such as jQuery and React.
Building and/or consuming REST APIs, including creating and parsing data in various formats, and understanding best practices of building RESTful APIs.

Communication Skills:
Ability to lead and thrive in remote team settings.
Excellent communication skills and the ability to explain technical problems/solutions.
Ability to communicate and present designs, concepts, and ideas clearly and concisely to technical and non-technical audiences.
Excellent interpersonal communication with strong verbal / written English skills.
Candidate is a team player, self-starter/self-motivated, and detail-oriented.

Clarus Commerce is proud to be an Equal Opportunity/Affirmative Action employer. As such we are collecting this data from applicants. Completion of this data is voluntary and will not affect your opportunity for employment or terms or conditions of employment. This data will be used for reporting purposes only and will be kept separate from all other personnel records and only accessed by the Human Resources Department. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other basis prohibited by law.",4.3,"Clarus Commerce
4.3","Rocky Hill, CT",51 to 200 Employees,2001,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,67,137,102.0,"Clarus Commerce
", CT,19,1,1,0,0,1,0,0,0
CNC Software Programmer,$67K-$137K (Glassdoor est.),"CNC PROGRAMMER/SET UP. OLDER FADAL MACHINING CENTERS AND HAAS LIVE TOOL LATHES RUNNING SHORT LEAD TIME MEDIUM PRODUCTION VOLUME PARTS. Must have 5 YEARS FADAL Experience. HAAS LIVE TOOL LATHE EXPERIENCE A PLUS. 3 YEARS EXPERIENCE WITH ANY CAM SOFTWARE. WE WILLPROVIDE THE CAM SOFTWARE YOU ARE PREFER. METRIC SHOP.
. You must be able to stand for 8 hours a day, have CNC machine experience, properly read a tape measure, and be able to do moderate lifting. The shift is Monday - Friday 8:00 am - 5:00 pm. If you feel you would be a good fit for this position please respond with your resume
Responsibilities
Prepare and operate CNC machines to perform tasks such as drilling, grinding, milling etc.
Understand specifications of the task at hand and the desired result by reading blueprints, mechanical drawings etc.
Translate instructions into computer commands so the machines can perform the correct function
Prepare and load raw materials and parts onto the machines
Prepare a test run to check if the machines produce outputs according to specifications
Set machines to complete full cycles to fabricate large number of parts
Supervise the machines while they execute the tasks and make any necessary adjustments to produce a better result
Inspect and measure finished products and compare them with requirements to determine if the process has been completed properly
Check and maintain machinery daily to ensure functionality
Skills
Proven experience as CNC operator
Skill in operating CNC machinery and tooling as well as precision measurement tools
Ability to read and interpret mechanical documents and drawings
Computer savvy with basic understanding of computer programming and CAD/CAM
Mechanical aptitude and good math skills
A keen eye for detail and results-driven approach
Good communication abilities
Job Type: Full-time
Job Type: Full-time
Pay: $0.00 per hour
Schedule:
Monday to Friday
Experience:
CNC programming: 1 year (Preferred)
Typical start time:
8AM
Typical end time:
5PM
This Company Describes Its Culture as:
Detail-oriented -- quality and precision-focused
Team-oriented -- cooperative and collaborative",-1.0,Tenex Inc,"Goodlettsville, TN",-1,-1,-1,-1,-1,-1,0,0,67,137,102.0,Tenex Inc, TN,-1,0,0,0,0,0,0,0,0
Software Engineer - Java,$67K-$137K (Glassdoor est.),"Location: Carmel, Indiana or Eagan, Minnesota
Be a part of MISO’s Software Engineering Team! Technology enables all of our core business groups and as we update our systems to improve our corporate strategies, and we’re looking for passionate and bright developers/software engineers to join our team. Develop “energizing” applications and empower yourself to use your skills to your fullest potential! Write software for the power industry and help MISO use technology to take advantage of renewable resources.
As MISO’s Software Engineer, you could:
Work on systems that ensure the stability and performance of the electric grid
Support the applications that manage an energy market worth billions of dollars
Modernize our application platforms to take advantage of our private cloud
Implement new strategies that will allow for growth of renewable energy
Write microservices, and establish tools and processes for data integration services
You’ll know you’re successful as our Software Engineer if you:
Are self-motivated
Embrace continuous improvement
Enjoy working with a collaborate team to deliver solutions in an Agile environment
Want to work on complex projects for systems that are critical to the national infrastructure
We are working with the following technologies, platforms, and methodologies:
Java/.NET/C# (a polyglot!)
Cloud technologies
Behavioral Driven Development or Test Driven Development
Agile Methodologies
MISO offers a comprehensive, top-notch benefits package available on your first day of employment. We also offer a professional development environment to allow for career growth. At MISO, we are committed to the health and safety of our employees while maintaining a reliable bulk electric system. We are proud to offer #workfromhome options to our employees and have adapted our recruiting and onboarding processes to accommodate the needs of our prospective employees. #hiring
Transformative innovation is happening in the electric industry; from digitalizing homes and distributed resources, to renewable energy and an ever-changing grid. MISO manages the electricity superhighway in the Central U.S. and through use of groundbreaking research and advanced technology, our highly skilled employees ensure power flows reliably to 42 million Americans. Operating the electricity grid, running a robust energy market, planning for a bright future – it’s what our immensely talented and dedicated team does every day.
MISO in 90 Seconds",3.3,"MIDCONTINENT INDEPENDENT SYSTEM OPERATOR INC
3.3","Carmel, IN",501 to 1000 Employees,1998,Nonprofit Organization,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,0,0,67,137,102.0,"MIDCONTINENT INDEPENDENT SYSTEM OPERATOR INC
", IN,22,0,0,0,0,0,0,0,0
